,side_effect_name,stitch_id_flat
1019,Coronary artery thrombosis,12
1020,Costochondritis,8
1021,Costovertebral angle tenderness,1
1022,Cough,712
1023,Cough decreased,3
1024,Cranial nerve disorder,1
1025,Cranial nerve paralysis,11
1026,Craniosynostosis,1
1027,Creatinine renal clearance decreased,14
1028,Crohn's disease,15
1029,Croup infectious,1
1030,Crying,22
1031,Cryptococcal cutaneous infection,1
1032,Cryptococcosis,8
1033,Cryptorchism,3
1034,Cryptosporidiosis infection,2
1035,Crystal urine present,2
1036,Crystalluria,27
1037,Culture negative,4
1038,Cushing's syndrome,31
1039,Cushingoid,15
1040,Cutaneous lupus erythematosus,9
1041,Cutaneous sarcoidosis,1
1042,Cutaneous vasculitis,29
1043,Cutis laxa,2
1044,Cyanopsia,2
1045,Cyanosis,104
1046,Cycloplegia,11
1047,Cyclothymic disorder,1
1048,Cyst,97
1049,Cystitis,162
1050,Cystitis haemorrhagic,20
1051,Cystitis interstitial,2
1052,Cystitis noninfective,155
1053,Cystitis viral,1
1054,Cystocele,1
1055,Cystoid macular oedema,11
1056,Cytarabine syndrome,1
1057,Cytogenetic abnormality,1
1058,Cytokine release syndrome,2
1059,Cytomegalovirus chorioretinitis,3
1060,Cytomegalovirus colitis,2
1061,Cytomegalovirus gastritis,1
1062,Cytomegalovirus hepatitis,1
1063,Cytomegalovirus infection,10
1064,Cytomegalovirus syndrome,1
1065,Cytomegalovirus viraemia,2
1066,Cytotoxic oedema,1
1067,Dacryoadenitis acquired,1
1068,Dacryocanaliculitis,1
1069,Dacryocystitis,1
1070,Dacryostenosis acquired,3
1071,Dactylitis,1
1072,Dandruff,5
1073,Dark circles under eyes,1
1074,Deafness,252
1075,Deafness bilateral,1
1076,Deafness neurosensory,11
1077,Deafness permanent,5
1078,Deafness transitory,6
1079,Deafness unilateral,2
1080,Death,16
1081,Death neonatal,3
1082,Decreased appetite,955
1083,Decreased immune responsiveness,1
1084,Decreased interest,2
1085,Decreased vibratory sense,2
1086,Decubitus ulcer,11
1087,Deep vein thrombosis,102
1088,Defaecation urgency,9
1089,Defect conduction intraventricular,3
1090,Deficiency anaemia,1
1091,Deficiency of bile secretion,1
1092,Dehydration,257
1093,Delayed delivery,1
1094,Delayed puberty,2
1095,Delayed recovery from anaesthesia,1
1096,Delirium,118
1097,Delirium tremens,1
1098,Delusion,99
1099,Delusional disorders,2
1100,Delusional perception,4
1101,Dementia,54
1102,Dementia Alzheimer's type,4
1103,Dementia with Lewy bodies,1
1104,Demyelinating polyneuropathy,2
1105,Demyelination,4
1106,Dental caries,51
1107,Dental discomfort,3
1108,Dentofacial anomaly,1
1109,Dependence,37
1110,Depersonalisation,90
1111,Deposit eye,2
1112,Depressed level of consciousness,186
1113,Depressed mood,54
1114,Depression,367
1115,Depression suicidal,5
1116,Depressive symptom,20
1117,Derealisation,12
1118,Dermal cyst,10
1119,Dermatillomania,1
1120,Dermatitis,1433
1121,Dermatitis acneiform,50
1122,Dermatitis atopic,115
1123,Dermatitis bullous,255
1124,Dermatitis contact,188
1125,Dermatitis diaper,9
1126,Dermatitis exfoliative,222
1127,Dermatitis infected,8
1128,Dermatitis psoriasiform,15
1129,Dermatomyositis,10
1130,Dermatophytosis,1
1131,Dermoid cyst,6
1132,Detachment of retinal pigment epithelium,1
1133,Developmental coordination disorder,1
1134,Developmental delay,49
1135,Developmental glaucoma,4
1136,Developmental hip dysplasia,1
1137,Device breakage,3
1138,Device capturing issue,7
1139,Device dislocation,3
1140,Device expulsion,4
1141,Device interaction,1
1142,Device malfunction,4
1143,Device occlusion,3
1144,Device related infection,25
1145,Device related sepsis,1
1146,Diabetes insipidus,9
1147,Diabetes mellitus,247
1148,Diabetes mellitus inadequate control,2
1149,Diabetic autonomic neuropathy,1
1150,Diabetic coma,7
1151,Diabetic complication,2
1152,Diabetic foot infection,1
1153,Diabetic hyperglycaemic coma,7
1154,Diabetic hyperosmolar coma,5
1155,Diabetic ketoacidosis,13
1156,Diabetic nephropathy,2
1157,Diabetic neuropathy,5
1158,Diabetic retinopathy,8
1159,Diabetic vascular disorder,1
1160,Diaphragmatic hernia,4
1161,Diarrhoea,1148
1162,Diarrhoea haemorrhagic,28
1163,Diastolic dysfunction,3
1164,Diastolic hypertension,4
1165,Diet refusal,1
1166,Diffuse alopecia,1
1167,Diffuse large B-cell lymphoma,3
1168,Dilatation atrial,1
1169,Dilatation ventricular,1
1170,Diplegia,20
1171,Diplopia,224
1172,Disability,15
1173,Discomfort,682
1174,Disease progression,27
1175,Disease recurrence,1
1176,Disinhibition,10
1177,Disorientation,183
1178,Disseminated intravascular coagulation,50
1179,Disseminated tuberculosis,1
1180,Dissociation,14
1181,Dissociative disorder,1
1182,Distractibility,1
1183,Disturbance in attention,158
1184,Disturbance in sexual arousal,303
1185,Diverticular perforation,1
1186,Diverticulitis,35
1187,Diverticulum,9
1188,Diverticulum intestinal,2
1189,Dizziness,1758
1190,Dizziness exertional,1
1191,Dizziness postural,40
1192,Dreamy state,1
1193,Drooling,18
1194,Drug abuse,32
1195,Drug administration error,2
1196,Drug dependence,44
1197,Drug effect decreased,3
1198,Drug effect increased,6
1199,Drug effect prolonged,2
1200,Drug eruption,86
1201,Drug hypersensitivity,48
1202,Drug ineffective,16
1203,Drug interaction,140
1204,Drug intolerance,10
1205,Drug level changed,1
1206,Drug level decreased,4
1207,Drug level increased,12
1208,Drug reaction with eosinophilia and systemic symptoms,17
1209,Drug screen positive,1
1210,Drug tolerance,16
1211,Drug tolerance decreased,5
1212,Drug withdrawal convulsions,5
1213,Drug withdrawal syndrome,66
1214,Drug withdrawal syndrome neonatal,12
1215,Drug-induced liver injury,12
1216,Dry eye,186
1217,Dry mouth,597
1218,Dry skin,279
1219,Dry throat,51
1220,Duodenal perforation,2
1221,Duodenal ulcer,58
1222,Duodenal ulcer haemorrhage,5
1223,Duodenal ulcer perforation,6
1224,Duodenitis,34
1225,Duodenitis haemorrhagic,5
1226,Dupuytren's contracture,2
1227,Dwarfism,2
1228,Dysacusis,2
1229,Dysaesthesia,53
1230,Dysaesthesia pharynx,3
1231,Dysarthria,156
1232,Dyschezia,6
1233,Dysentery,4
1234,Dysgeusia,557
1235,Dysgraphia,5
1236,Dyshidrotic eczema,2
1237,Dyskinesia,198
1238,Dyslexia,2
1239,Dyslipidaemia,18
1240,Dysmenorrhoea,148
1241,Dysmorphism,1
1242,Dyspareunia,17
1243,Dyspepsia,890
1244,Dyspeptic signs and symptoms,12
1245,Dysphagia,282
1246,Dysphemia,8
1247,Dysphonia,146
1248,Dysphoria,51
1249,Dysplasia,6
1250,Dyspnoea,763
1251,Dyspnoea at rest,1
1252,Dyspnoea exertional,36
1253,Dyspnoea paroxysmal nocturnal,4
1254,Dyssomnia,2
1255,Dysstasia,2
1256,Dysthymic disorder,13
1257,Dystonia,17
1258,Dystrophic calcification,1
1259,Dysuria,344
1260,ECG signs of myocardial ischaemia,1
1261,Ear and labyrinth disorders,227
1262,Ear canal erythema,2
1263,Ear congestion,5
1264,Ear discomfort,14
1265,Ear disorder,68
1266,Ear disorders NEC,1
1267,Ear haemorrhage,5
1268,Ear infection,56
1269,Ear malformation,3
1270,Ear pain,189
1271,Ear pruritus,2
1272,Early menarche,1
1273,Early satiety,5
1274,Eating disorder,5
1275,Ecchymosis,192
1276,Echocardiogram abnormal,2
1277,Echolalia,2
1278,Eclampsia,2
1279,Ectopic ACTH syndrome,1
1280,Ectopic pregnancy,11
1281,Ectropion,4
1282,Ectropion of cervix,9
1283,Eczema,204
1284,Eczema eyelids,3
1285,Eczema herpeticum,4
1286,Eczema infected,2
1287,Effusion,11
1288,Ejaculation delayed,18
1289,Ejaculation disorder,48
1290,Ejaculation failure,21
1291,Ejection fraction decreased,18
1292,Elastosis perforans,2
1293,Electric shock,10
1294,Electrocardiogram PR prolongation,11
1295,Electrocardiogram PR shortened,2
1296,Electrocardiogram QRS complex,17
1297,Electrocardiogram QRS complex abnormal,6
1298,Electrocardiogram QRS complex prolonged,1
1299,Electrocardiogram QT interval,2
1300,Electrocardiogram QT interval abnormal,1
1301,Electrocardiogram QT prolonged,101
1302,Electrocardiogram QT shortened,1
1303,Electrocardiogram ST segment,9
1304,Electrocardiogram ST segment abnormal,5
1305,Electrocardiogram ST segment depression,23
1306,Electrocardiogram ST segment elevation,8
1307,Electrocardiogram ST-T change,2
1308,Electrocardiogram ST-T segment abnormal,1
1309,Electrocardiogram T wave abnormal,6
1310,Electrocardiogram T wave amplitude decreased,4
1311,Electrocardiogram T wave inversion,19
1312,Electrocardiogram U-wave abnormality,9
1313,Electrocardiogram abnormal,90
1314,Electrocardiogram change,34
1315,Electrocardiogram repolarisation abnormality,1
1316,Electroencephalogram abnormal,20
1317,Electrolyte depletion,1
1318,Electrolyte imbalance,54
1319,Elevated mood,6
1320,Embolic stroke,2
1321,Embolism,126
1322,Embolism arterial,5
1323,Embolism venous,85
1324,Emotional disorder,24
1325,Emotional distress,46
1326,Emotional poverty,2
1327,Emphysema,13
1328,Emprosthotonus,2
1329,Enanthema,3
1330,Encephalitis,15
1331,Encephalitis cytomegalovirus,1
1332,Encephalitis viral,2
1333,Encephalocele,2
1334,Encephalopathy,87
1335,End stage AIDS,1
1336,Endocardial fibrosis,1
1337,Endocarditis,6
1338,Endocrine disorder,134
1339,Endocrine neoplasms malignant and unspecified,1
1340,Endometrial adenocarcinoma,1
1341,Endometrial cancer,28
1342,Endometrial disorder,8
1343,Endometrial hyperplasia,14
1344,Endometrial hypertrophy,6
1345,Endometrial neoplasm,1
1346,Endometriosis,15
1347,Endometritis,5
1348,Endophthalmitis,64
1349,Endotracheal intubation complication,2
1350,Energy increased,7
1351,Enlarged clitoris,9
1352,Enophthalmos,1
1353,Enteritis,39
1354,Enterobacter sepsis,1
1355,Enterobiasis,1
1356,Enterococcal bacteraemia,1
1357,Enterococcal infection,1
1358,Enterocolitis,39
1359,Enterocolitis haemorrhagic,10
1360,Enterocolitis infectious,1
1361,Enterocutaneous fistula,1
1362,Enuresis,30
1363,Enzyme abnormality,8
1364,Enzyme induction,4
1365,Eosinopenia,1
1366,Eosinophil count abnormal,1
1367,Eosinophil count increased,20
1368,Eosinophilia,319
1369,Eosinophilic cystitis,1
1370,Eosinophilic myocarditis,5
1371,Eosinophilic pneumonia,18
1372,Eosinophilic pustular folliculitis,1
1373,Ephelides,2
1374,Epicondylitis,3
1375,Epidermal and dermal conditions,1
1376,Epidermal growth factor receptor decreased,1
1377,Epidermal naevus,1
1378,Epidermal necrosis,11
1379,Epidermolysis,3
1380,Epidermolysis bullosa,2
1381,Epididymal tenderness,1
1382,Epididymitis,37
1383,Epidural haemorrhage,5
1384,Epidural lipomatosis,3
1385,Epigastric discomfort,65
1386,Epiglottitis,1
1387,Epilepsy,53
1388,Epiphyses premature fusion,3
1389,Epiphysiolysis,1
1390,Episcleritis,5
1391,Epistaxis,377
1392,Epstein-Barr virus infection,4
1393,Erectile dysfunction,309
1394,Erection increased,10
1395,Ergot poisoning,1
1396,Erosive oesophagitis,4
1397,Eructation,161
1398,Erysipelas,4
1399,Erythema,606
1400,Erythema annulare,1
1401,Erythema infectiosum,1
1402,Erythema multiforme,641
1403,Erythema nodosum,58
1404,Erythema of eyelid,19
1405,Erythrasma,1
1406,Erythrodermic psoriasis,3
1407,Erythroleukaemia,1
1408,Erythromelalgia,5
1409,Erythropenia,6
1410,Erythropoiesis abnormal,4
1411,Erythropsia,1
1412,Erythrosis,2
1413,Eschar,4
1414,Escherichia bacteraemia,1
1415,Escherichia sepsis,2
1416,Essential hypertension,8
1417,Essential thrombocythaemia,1
1418,Essential tremor,1
1419,Euphoric mood,178
1420,Eustachian tube disorder,3
1421,Evans syndrome,1
1422,Excessive granulation tissue,1
1423,Excoriation,39
1424,Exfoliative conditions,2
1425,Exfoliative rash,20
1426,Exomphalos,5
1427,Exophthalmos,30
1428,Exostosis,13
1429,Exposure to toxic agent,1
1430,Expressive language disorder,2
1431,Extensor plantar response,4
1432,External ear disorder,1
1433,Extradural abscess,2
1434,"Extranodal NK/T-cell lymphoma, nasal type",1
1435,Extrapyramidal disorder,131
1436,Extraskeletal ossification,1
1437,Extrasystoles,120
1438,Extravasation,113
1439,Extremity contracture,1
1440,Extremity necrosis,1
1441,Eye allergy,4
1442,Eye burns,5
1443,Eye discharge,25
1444,Eye disorder,440
1445,Eye haemorrhage,63
1446,Eye infection,34
1447,Eye infection viral,1
1448,Eye injury,3
1449,Eye irritation,138
1450,Eye movement disorder,10
1451,Eye naevus,1
1452,Eye oedema,20
1453,Eye pain,213
1454,Eye penetration,3
1455,Eye pruritus,57
1456,Eye swelling,39
1457,Eye ulcer,1
1458,Eyelash discolouration,4
1459,Eyelash hyperpigmentation,2
1460,Eyelash thickening,2
1461,Eyelid bleeding,1
1462,Eyelid disorder,13
1463,Eyelid exfoliation,1
1464,Eyelid function disorder,1
1465,Eyelid infection,1
1466,Eyelid irritation,9
1467,Eyelid margin crusting,10
1468,Eyelid oedema,64
1469,Eyelid pain,3
1470,Eyelid ptosis,10
1471,Eyelid retraction,3
1472,Eyelids pruritus,11
1473,Face injury,2
1474,Face oedema,255
1475,Facial bones fracture,2
1476,Facial neuralgia,1
1477,Facial pain,16
1478,Facial paresis,7
1479,Facial spasm,3
1480,Facial wasting,2
1481,Factor I deficiency,1
1482,Factor II deficiency,6
1483,Factor VIII deficiency,3
1484,Factor XI deficiency,1
1485,Faecal incontinence,69
1486,Faecalith,28
1487,Faecaloma,28
1488,Faeces discoloured,16
1489,Faeces hard,10
1490,Failed induction of labour,1
1491,Failure to thrive,3
1492,Fall,7
1493,Fallopian tube cyst,1
1494,Fallot's tetralogy,1
1495,Familial tremor,1
1496,Family stress,2
1497,Fanconi syndrome,11
1498,Fanconi syndrome acquired,3
1499,Fasciitis,4
1500,Fasting,14
1501,Fat embolism,11
1502,Fat intolerance,1
1503,Fat necrosis,3
1504,Fat redistribution,18
1505,Fat tissue increased,4
1506,Fatal outcomes,85
1507,Fatigue,798
1508,Fear,3
1509,Febrile bone marrow aplasia,1
1510,Febrile convulsion,2
1511,Febrile disorders,3
1512,Febrile neutropenia,92
1513,Feeling abnormal,1133
1514,Feeling cold,33
1515,Feeling drunk,16
1516,Feeling hot,139
1517,Feeling jittery,45
1518,Feeling of body temperature change,10
1519,Feeling of despair,2
1520,Feeling of relaxation,2
1521,Feelings of worthlessness,1
1522,Female orgasmic disorder,1
1523,Female reproductive neoplasm,1
1524,Female sexual arousal disorder,2
1525,Female sexual dysfunction,11
1526,Feminisation acquired,3
1527,Femoral neck fracture,3
1528,Femur fracture,8
1529,Fever neonatal,1
1530,Fibroadenoma of breast,13
1531,Fibrocystic breast disease,22
1532,Fibroma,1
1533,Fibromyalgia,10
1534,Fibrosis,32
1535,Finger deformity,1
1536,Fistula,11
1537,Fixed eruption,3
1538,Flank pain,51
1539,Flat affect,94
1540,Flatulence,524
1541,Flight of ideas,1
1542,Floppy infant,1
1543,Floppy iris syndrome,8
1544,Fluid imbalance,5
1545,Fluid intake increased,2
1546,Fluid intake reduced,1
1547,Fluid overload,60
1548,Fluid retention,193
1549,Fluoride increased,1
1550,Fluorosis,2
1551,Flushing,463
1552,Focal segmental glomerulosclerosis,2
1553,Foetal acidosis,2
1554,Foetal alcohol syndrome,1
1555,Foetal anticonvulsant syndrome,1
1556,Foetal chromosome abnormality,1
1557,Foetal damage,2
1558,Foetal death,12
1559,Foetal disorder,5
1560,Foetal distress syndrome,6
1561,Foetal heart rate,2
1562,Foetor hepaticus,75
1563,Folate deficiency,8
1564,Folliculitis,102
1565,Fontanelle bulging,10
1566,Food allergy,7
1567,Food aversion,1
1568,Food craving,1
1569,Food interaction,2
1570,Food intolerance,1
1571,Food poisoning,7
1572,Foot and mouth disease,2
1573,Foot fracture,3
1574,Forced expiratory volume decreased,3
1575,Foreign body,1
1576,Foreign body in eye,1
1577,Foreign body sensation in eyes,14
1578,Formication,5
1579,Fraction of inspired oxygen,3
1580,Fracture,81
1581,Free prostate-specific antigen increased,3
1582,Freezing phenomenon,1
1583,Frequent bowel movements,23
1584,Fructose intolerance,1
1585,Frustration,1
1586,Functional gastrointestinal disorder,26
1587,Fungaemia,6
1588,Fungal infection,124
1589,Fungal peritonitis,1
1590,Fungal sepsis,1
1591,Fungal skin infection,54
1592,Fungal test positive,1
1593,Furuncle,64
1594,Gait disturbance,153
1595,Galactorrhoea,97
1596,Gallbladder cancer,1
1597,Gallbladder disorder,22
1598,Gallbladder polyp,1
1599,Gamma-glutamyltransferase increased,124
1600,Gangrene,27
1601,Gas gangrene,1
1602,Gastric atony,8
1603,Gastric cancer,1
1604,Gastric dilatation,3
1605,Gastric disorder,9
1606,Gastric haemorrhage,14
1607,Gastric pH decreased,12
1608,Gastric perforation,2
1609,Gastric polyps,7
1610,Gastric ulcer,73
1611,Gastric ulcer haemorrhage,8
1612,Gastric ulcer helicobacter,1
1613,Gastric ulcer perforation,2
1614,Gastrinoma,1
1615,Gastritis,274
1616,Gastritis erosive,2
1617,Gastritis haemorrhagic,9
1618,Gastritis viral,2
1619,Gastroduodenitis,2
1620,Gastroenteritis,207
1621,Gastroenteritis adenovirus,1
1622,Gastroenteritis bacterial,2
1623,Gastroenteritis salmonella,1
1624,Gastroenteritis yersinia,1
1625,Gastrointestinal candidiasis,10
1626,Gastrointestinal carcinoma,11
1627,Gastrointestinal disorder,928
1628,Gastrointestinal fistula,5
1629,Gastrointestinal fungal infection,1
1630,Gastrointestinal haemorrhage,228
1631,Gastrointestinal hypermotility,1
1632,Gastrointestinal hypomotility,3
1633,Gastrointestinal infection,14
1634,Gastrointestinal inflammation,6
1635,Gastrointestinal inflammatory conditions,2
1636,Gastrointestinal malformation,3
1637,Gastrointestinal motility disorder,5
1638,Gastrointestinal necrosis,10
1639,Gastrointestinal neoplasm,2
1640,Gastrointestinal obstruction,8
1641,Gastrointestinal pain,877
1642,Gastrointestinal perforation,30
1643,Gastrointestinal signs and symptoms,6
1644,Gastrointestinal signs and symptoms NEC,1
1645,Gastrointestinal sounds abnormal,12
1646,Gastrointestinal stoma complication,2
1647,Gastrointestinal stromal tumour,2
1648,Gastrointestinal toxicity,17
1649,Gastrointestinal tract irritation,46
1650,Gastrointestinal ulcer,14
1651,Gastrointestinal ulcer haemorrhage,8
1652,Gastrointestinal ulcer perforation,4
1653,Gastrooesophageal reflux disease,156
1654,Gastrooesophageal sphincter insufficiency,1
1655,Gastrooesophagitis,3
1656,Gaze palsy,1
1657,General disorders and administration site conditions,5
1658,General physical health deterioration,6
1659,General symptom,4
1660,Generalised anxiety disorder,1
1661,Generalised erythema,7
1662,Generalised oedema,79
1663,Genetic polymorphism,2
1664,Genital burning sensation,1
1665,Genital candidiasis,24
1666,Genital discharge,7
1667,Genital discomfort,1
1668,Genital disorder female,5
1669,Genital disorder male,2
1670,Genital haemorrhage,5
1671,Genital herpes,4
1672,Genital hypoaesthesia,1
1673,Genital infection,4
1674,Genital infection fungal,3
1675,Genital infection male,1
1676,Genital injury,1
1677,Genital lesion,1
1678,Genital pain,5
1679,Genital rash,3
1680,Genital swelling,2
1681,Genital ulceration,4
1682,Genitourinary chlamydia infection,1
1683,Genitourinary tract infection,1
1684,Genitourinary tract neoplasm,4
1685,Gestational diabetes,2
1686,Gestational hypertension,1
1687,Gilbert's syndrome,2
1688,Gingival abscess,1
1689,Gingival bleeding,80
1690,Gingival blister,1
1691,Gingival disorder,7
1692,Gingival erythema,1
1693,Gingival hyperplasia,29
1694,Gingival hypertrophy,6
1695,Gingival infection,4
1696,Gingival oedema,1
1697,Gingival pain,29
1698,Gingival recession,2
1699,Gingival swelling,3
1700,Gingival ulceration,1
1701,Gingivitis,108
1702,Glabellar reflex abnormal,2
1703,Glaucoma,118
1704,Glioblastoma,1
1705,Glioblastoma multiforme,2
1706,Glioma,2
1707,Globulins decreased,1
1708,Glomerular filtration rate decreased,3
1709,Glomerulonephritis,18
1710,Glomerulonephritis membranoproliferative,1
1711,Glomerulonephritis membranous,4
1712,Glomerulonephritis minimal lesion,2
1713,Glomerulonephritis rapidly progressive,1
1714,Glomerulonephropathy,1
1715,Glossitis,143
1716,Glossodynia,45
1717,Glucocorticoids decreased,1
1718,Glucose tolerance decreased,21
1719,Glucose tolerance impaired,42
1720,Glucose-6-phosphate dehydrogenase deficiency,12
1721,Glycosuria,130
1722,Glycosylated haemoglobin decreased,2
1723,Glycosylated haemoglobin increased,6
1724,Goitre,54
1725,Gonorrhoea,1
1726,Goodpasture's syndrome,1
1727,Gout,150
1728,Gouty arthritis,5
1729,Gouty tophus,1
1730,Graft complication,3
1731,Graft dysfunction,4
1732,Graft loss,5
1733,Graft thrombosis,1
1734,Graft versus host disease,8
1735,Grand mal convulsion,60
1736,Granulocytosis,5
1737,Granuloma,11
1738,Granuloma annulare,1
1739,Granuloma skin,1
1740,Granulomatosis with polyangiitis,2
1741,Granulomatous liver disease,14
1742,Gravitational oedema,25
1743,Grey syndrome neonatal,1
1744,Grimacing,4
1745,Groin pain,14
1746,Growth accelerated,4
1747,Growth of eyelashes,3
1748,Growth retardation,32
1749,Guillain-Barre syndrome,22
1750,Gynaecomastia,185
1751,HELLP syndrome,1
1752,HIV associated nephropathy,1
1753,Haemangioma,14
1754,Haemangioma congenital,1
1755,Haemarthrosis,9
1756,Haematemesis,105
1757,Haematochezia,53
1758,Haematocrit decreased,56
1759,Haematocrit increased,11
1760,Haematological malignancy,6
1761,Haematology test abnormal,1
1762,Haematoma,109
1763,Haematospermia,6
1764,Haematotoxicity,2
1765,Haematuria,375
1766,Haemobilia,1
1767,Haemochromatosis,2
1768,Haemodynamic instability,3
1769,Haemoglobin,410
1770,Haemoglobin abnormal,3
1771,Haemoglobin decreased,113
1772,Haemoglobin increased,13
1773,Haemoglobin normal,1
1774,Haemoglobinaemia,4
1775,Haemoglobinuria,9
1776,Haemolysis,25
1777,Haemolytic anaemia,225
1778,Haemolytic uraemic syndrome,24
1779,Haemophilia,3
1780,Haemoptysis,119
1781,Haemorrhage,426
1782,Haemorrhage in pregnancy,2
1783,Haemorrhage intracranial,61
1784,Haemorrhage subcutaneous,4
1785,Haemorrhage urinary tract,9
1786,Haemorrhagic anaemia,4
1787,Haemorrhagic disorder,25
1788,Haemorrhagic erosive gastritis,2
1789,Haemorrhagic ovarian cyst,1
1790,Haemorrhagic stroke,19
1791,Haemorrhagic urticaria,2
1792,Haemorrhoidal haemorrhage,15
1793,Haemorrhoids,88
1794,Haemothorax,5
1795,Hair colour changes,19
1796,Hair disorder,23
1797,Hair growth abnormal,15
1798,Hair texture abnormal,14
1799,Hallucination,368
1800,"Hallucination, auditory",17
1801,"Hallucination, tactile",1
1802,"Hallucination, visual",28
1803,"Hallucinations, mixed",9
1804,Halo vision,6
1805,Hamartoma,1
1806,Hand and foot syndrome secondary to sickle cell anaemia,4
1807,Hand dermatitis,2
1808,Hand fracture,1
1809,Hangover,22
1810,Haptoglobin increased,1
1811,Head discomfort,4
1812,Head injury,12
1813,Head lag abnormal,1
1814,Head titubation,2
1815,Headache,1219
1816,Hearing impaired,172
1817,Heart alternation,1
1818,Heart disease congenital,10
1819,Heart failure signs and symptoms,4
1820,Heart rate abnormal,1
1821,Heart rate irregular,29
1822,Heart sounds abnormal,9
1823,Heat exhaustion,4
1824,Heat stroke,17
1825,Helicobacter gastritis,1
1826,Helicobacter infection,2
1827,Hemianopia,9
1828,Hemiparesis,22
1829,Hemiplegia,38
1830,Henoch-Schonlein purpura,32
1831,Heparin-induced thrombocytopenia,3
1832,Hepatic adenoma,4
1833,Hepatic angiosarcoma,1
1834,Hepatic artery thrombosis,3
1835,Hepatic atrophy,1
1836,Hepatic cancer,24
1837,Hepatic cancer metastatic,8
1838,Hepatic cirrhosis,19
1839,Hepatic congestion,2
1840,Hepatic cyst,1
1841,Hepatic encephalopathy,15
1842,Hepatic enzyme abnormal,4
1843,Hepatic enzyme decreased,1
1844,Hepatic enzyme increased,142
1845,Hepatic failure,220
1846,Hepatic fibrosis,5
1847,Hepatic function abnormal,195
1848,Hepatic haemorrhage,1
1849,Hepatic infiltration eosinophilic,1
1850,Hepatic necrosis,80
1851,Hepatic neoplasm,15
1852,Hepatic pain,8
1853,Hepatic steatosis,45
1854,Hepatic vein occlusion,2
1855,Hepatic vein thrombosis,1
1856,Hepatitis,398
1857,Hepatitis A,5
1858,Hepatitis B,21
1859,Hepatitis B e antigen positive,2
1860,Hepatitis B surface antigen positive,1
1861,Hepatitis C,17
1862,Hepatitis C antibody positive,1
1863,Hepatitis F,1
1864,Hepatitis acute,13
1865,Hepatitis alcoholic,2
1866,Hepatitis cholestatic,51
1867,Hepatitis chronic active,7
1868,Hepatitis fulminant,21
1869,Hepatitis toxic,17
1870,Hepatitis viral,11
1871,Hepatobiliary disease,357
1872,Hepatoblastoma,1
1873,Hepatocellular carcinoma,20
1874,Hepatocellular injury,165
1875,Hepatomegaly,105
1876,Hepatorenal syndrome,7
1877,Hepatosplenic T-cell lymphoma,3
1878,Hepatosplenomegaly,13
1879,Hepatotoxicity,118
1880,Hereditary angioedema,6
1881,Hernia,54
1882,Hernia congenital,2
1883,Hernia pain,1
1884,Herpangina,1
1885,Herpes dermatitis,3
1886,Herpes simplex,142
1887,Herpes simplex encephalitis,1
1888,Herpes simplex hepatitis,1
1889,Herpes virus infection,34
1890,Herpes zoster,123
1891,Hiatus hernia,13
1892,Hiccups,153
1893,Hidradenitis,1
1894,High density lipoprotein decreased,25
1895,High density lipoprotein increased,3
1896,High turnover osteopathy,1
1897,Hip fracture,7
1898,Hirsutism,89
1899,Histiocytosis,1
1900,Histiocytosis haematophagic,1
1901,Histoplasmosis,2
1902,Hodgkin's disease,8
1903,Hodgkin's disease lymphocyte depletion type stage unspecified,8
1904,Hodgkin's disease lymphocyte predominance type stage unspecified,8
1905,Hoigne's syndrome,2
1906,Homicidal ideation,10
1907,Homocystinuria,1
1908,Hordeolum,14
1909,Hormone level abnormal,7
1910,Hormone-dependent prostate cancer,1
1911,Horner's syndrome,5
1912,Hostility,68
1913,Hot flush,236
1914,House dust allergy,1
1915,Human herpesvirus 6 infection,1
1916,Humerus fracture,2
1917,Hunger,11
1918,Hydrocele,1
1919,Hydrocephalus,15
1920,Hydrometra,1
1921,Hydronephrosis,19
1922,Hydrops foetalis,1
1923,Hydrothorax,1
1924,Hydroureter,1
1925,Hyperacusis,42
1926,Hyperadrenocorticism,19
1927,Hyperaemia,33
1928,Hyperaesthesia,116
1929,Hyperalbuminaemia,1
1930,Hyperammonaemia,6
1931,Hyperamylasaemia,6
1932,Hyperbilirubinaemia,154
1933,Hypercalcaemia,109
1934,Hypercalcaemia of malignancy,1
1935,Hypercalciuria,12
1936,Hypercapnia,12
1937,Hyperchloraemia,10
1938,Hyperchlorhydria,11
1939,Hypercholesterolaemia,145
1940,Hypercoagulation,2
1941,Hyperemesis gravidarum,1
1942,Hyperfibrinogenaemia,1
1943,Hypergammaglobulinaemia,1
1944,Hyperglycaemia,356
1945,Hyperhidrosis,820
1946,Hyperinsulinism,6
1947,Hyperkalaemia,170
1948,Hyperkeratosis,33
1949,Hyperkinesia,174
1950,Hyperlactacidaemia,31
1951,Hyperlipidaemia,97
1952,Hypermagnesaemia,12
1953,Hypermethioninaemia,1
1954,Hypernatraemia,78
1955,Hyperparathyroidism,10
1956,Hyperparathyroidism primary,1
1957,Hyperparathyroidism secondary,3
1958,Hyperpathia,12
1959,Hyperphagia,8
1960,Hyperphosphataemia,36
1961,Hyperplasia,12
1962,Hyperprolactinaemia,28
1963,Hyperproteinaemia,2
1964,Hyperpyrexia,45
1965,Hyperreflexia,59
1966,Hypersensitivity,984
1967,Hypersexuality,14
1968,Hypersomnia,31
1969,Hypersplenism,3
